sample	treat	env	vOTUs(trimmean)	MAGs(trimmean)
Bulk1	Bulk	Bulk	186.4873082	166.4326029
Bulk2	Bulk	Bulk	158.7402436	149.0411378
Bulk3	Bulk	Bulk	180.3845713	153.0224154
Bulk4	Bulk	Bulk	132.2306444	130.0066131
Bulk5	Bulk	Bulk	242.8729781	193.8987479
Bulk6	Bulk	Bulk	180.9424903	154.5991523
Con1	Con	rhizosphere	290.6034528	148.0470843
Con2	Con	rhizosphere	170.4872998	135.9165497
Con3	Con	rhizosphere	210.9150027	173.3175498
Con4	Con	rhizosphere	262.7735899	164.5322916
Con5	Con	rhizosphere	217.8412286	168.8420428
Con6	Con	rhizosphere	230.302775	156.3356787
HAC1	HAC	rhizosphere	271.6098561	176.5487182
HAC2	HAC	rhizosphere	116.6744972	112.0818903
HAC3	HAC	rhizosphere	163.1362234	146.8179415
HAC4	HAC	rhizosphere	250.1251916	167.5428187
HAC5	HAC	rhizosphere	290.4627797	217.3914015
HAC6	HAC	rhizosphere	248.2799609	191.9281679
