sample	UGDH	galE	K16150	rifA	rifB	rifC_D	rifL	rifN
Con1	0.069294333	0.087592101	0.088804025	0.000264	0.00082	0.000104	0.000668	0.000032
Con2	0	0.323692971	0	0.000247	0.000776	0.000156	0.000692	0.000008
Con3	0.175920634	0	0.155510218	0.000264	0.000777	0.00011	0.000685	0.000025
Con4	0	0	0.125235133	0.000235	0.000748	0.000159	0.000642	0.000057
Con5	0.236886058	0.110927206	0	0.000237	0.000766	0.000127	0.000639	0.00001
Con6	0.092747926	0.129977043	0.151568212	0.000255	0.000813	0.000187	0.000746	0.000031
HAC1	0.257870106	0.405330484	0.527275875	0.000406	0.000866	0.000153	0.000938	0.000048
HAC2	0	0.261243343	0.24110566	0.000416	0.001035	0.000242	0.000944	0.000068
HAC3	0.364248881	0.21020427	0	0.000296	0.001078	0.000134	0.00085	0.000036
HAC4	0.304477962	0.341250461	0.440897357	0.000353	0.000934	0.000204	0.00086	0.000051
HAC5	0.274468426	0.307468987	0.510524601	0.000339	0.001003	0.000194	0.000864	0.000029
HAC6	0.285865328	1.014790898	0.250794883	0.000313	0.000847	0.000208	0.000734	0.000056
