virus.gene	bacteria.gene	spearman.r	spearman.p
UGDH	rifA	0.402122030806041	0.195027849850806
galE	rifA	0.626315789473684	0.0293322985078564
K16150	rifA	0.74427849561469	0.00550099537592775
UGDH	rifB	0.542266967707079	0.0685411247159128
galE	rifB	0.486865895495151	0.108442821951915
K16150	rifB	0.429588117274439	0.163398620808563
UGDH	rifC_D	0.0633818533683599	0.844853681587023
galE	rifC_D	0.577934336379136	0.0490488481513114
K16150	rifC_D	0.521139683250959	0.0823084663390416
UGDH	rifL	0.295781982385679	0.350596359398154
galE	rifL	0.630473821504512	0.0279602596510263
K16150	rifL	0.669030674443799	0.0173521925054073
UGDH	rifN	0.0352121407601999	0.913488219830278
galE	rifN	0.210157940501504	0.512085328993753
K16150	rifN	0.415503260970359	0.179181965547571
